Mapping,StateName,Longitude,Latitude
Legislation,Western Australia,116,-22.5
Legislation,New South Wales,141.5,-29.5
Legislation,Tasmania,145.5,-41.4
Legislation,South Australia,129.5,-27
Legislation,Victoria,141.5,-35.1
Legislation,Queensland,140,-20
Colonisation,Western Australia,121,-25
Colonisation,New South Wales,143,-31.8
Colonisation,Tasmania,145.5,-42
Colonisation,South Australia,130.6,-28.6
Colonisation,Victoria,146.5,-37.15
Colonisation,Queensland,143.5,-25.5
Colonisation,New Zealand,168,-44.6
